Continent,Country,ClusterCode,PlotCode,PlotViewID,Census.Int,PlotID,Plot.Name,Plot.View.Name,N_plots,PlotArea,Lat,Lon,Alt,rec.rate,mort.rate,N_ini.ha,N_int.ha,N_fin.ha,N_rec.ha.yr,N_mor.ha.yr,N_change.ha.yr,BA_ini.ha,BA_int.ha,BA_fin.ha,BA_gainrec.ha.yr,BA_gainsurv.ha.yr,BA_mor.ha.yr,BA_gain.ha.yr,BA_netchange.ha.yr,AGB_ini.ha,AGB_int.ha,AGB_fin.ha,AGB_mort_act.ha.yr,AGB_gain_rec.ha.yr,AGB_gain_surv.ha.yr,AGB_mort_unobs.ha.yr,AGB_rec_unobs.ha.yr,AGBGain_tot.ha.yr,AGBMor_tot.ha.yr,AGBnetchange.ha.yr,WD_mean_ini,WD_mean_int,WD_mean_fin,WD_change.yr,WD_ba_ini,WD_ba_int,WD_ba_fin,H_mean_ini,H_mean_int,H_mean_fin,H_change.yr,mean_growth.mm.yr,neg_growth.trees.ha,neg_growth.pc.trees,int_ini,int_fin,mid_int_date,int_c_length,AGBnetchange_rel,AGBGain_rel,AGBMor_rel,AGBnetchange_N,AGBGain_N,AGBMor_N,CRT,tot_monitor_length,AGBnetchange_change,AGBGain_change,AGBMor_change,merged
africa,"CONGO, DEMOCRATIC REPUBLIC",ITU,ITU-05,143,1,1281,"Ituri, Mixed, Z",Main Plot View,1,0.5,1.417,28.5,750,0.020408163,0.011191573,434,448,462,8.857142857,4.857142857,4,27.12065624,27.08384462,27.04703301,0.081774984,0.323348424,0.415641011,0.405123407,-0.010517603,356.8998495,350.8155977,344.7313458,6.877153141,0.510688441,4.628107022,0.163692782,0.009722056,5.3122103,7.050567979,-1.738357678,0.701258065,0.702439516,0.703620968,0.000337558,0.746155879,0.740164034,0.734172189,26.3563955,26.14992626,25.94345702,-0.058991212,1.718571429,14,3.125,1982.789,1989.789,1986.289,7,-0.487071564,1.488431645,1.975503209,-0.003880263,0.011570268,0.20226921,67.18481185,10.592,NA,NA,NA,no
africa,"CONGO, DEMOCRATIC REPUBLIC",ITU,ITU-05,143,2,1281,"Ituri, Mixed, Z",Main Plot View,1,0.5,1.417,28.5,750,0.009641435,0.004820718,462,466,470,4.454342984,2.227171492,2.227171492,27.04703301,27.59517496,28.1433169,0.038313087,0.306538804,0.039650363,0.344851891,0.305201528,344.7313458,352.487257,360.2431683,0.32637007,0.230371036,4.414435137,0.007763351,0.005408747,4.657978271,0.339542168,4.318436103,0.703620968,0.702902534,0.7021841,-0.000400019,0.734172189,0.733606016,0.733039844,25.94345702,26.03032593,26.11719483,0.048367989,1.304906645,100,21.45922747,1989.789,1993.381,1991.585,3.592,1.252696094,1.351190812,0.098494718,0.00926703,0.009723425,0.040796259,74.00879216,10.592,1.143654415,-0.123533238,-1.267187653,no
africa,"CONGO, DEMOCRATIC REPUBLIC",ITU,ITU-06,144,1,1282,"Ituri, Mixed, E",Main Plot View,1,0.5,1.433,28.583,750,0.01099243,0.017038266,526,515,504,5.782017924,8.962127783,-3.180109858,33.53419722,33.71463067,33.89506411,0.052613957,0.448541822,0.448992308,0.501155779,0.052163471,415.1461538,418.1595859,421.173018,5.525414952,0.326097143,6.070503727,0.147226531,0.010908149,6.55473555,5.683549632,0.871185919,0.680631179,0.681541738,0.682452297,0.000263243,0.693349895,0.693042682,0.692735469,26.75817972,26.83084481,26.9035099,0.021007542,1.985699475,24,4.660194175,1983.041,1989.959,1986.5,6.918,0.209850413,1.578898296,1.369047883,0.001691623,0.013082982,0.089119596,63.33530173,10.419,NA,NA,NA,no
africa,"CONGO, DEMOCRATIC REPUBLIC",ITU,ITU-06,144,2,1282,"Ituri, Mixed, E",Main Plot View,1,0.5,1.433,28.583,750,0.005667315,0.012468093,504,498,492,2.856326764,6.28391888,-3.427592117,33.89506411,34.30658369,34.71810327,0.023248773,0.356864646,0.145026541,0.380113418,0.235086877,421.173018,428.3649083,435.5567986,1.163834491,0.141806513,5.130505712,0.034682665,0.006217287,5.313212177,1.204734444,4.108477734,0.682452297,0.683043269,0.683634241,0.000337602,0.692735469,0.692629159,0.692522849,26.9035099,27.06117379,27.21883769,0.090067919,1.197049806,158,31.72690763,1989.959,1993.46,1991.7095,3.501,0.975484553,1.261527199,0.286042646,0.008249955,0.010644203,0.052901568,79.26900036,10.419,0.62142083,-0.238319104,-0.859739934,no
africa,GHANA,CAP,CAP-09,147,1,1285,Cape Three Points Plot 9 (slow dyn),Main Plot View,1,1,4.85044,-2.04073,126,0.007162554,0.008185776,490,488,486,3.509651542,4.011030333,-0.501378792,31.83093407,32.47365955,33.11638503,0.033194738,0.432137725,0.304208001,0.465332464,0.161124463,374.7329711,384.2706034,393.8082356,3.683214573,0.189423125,5.884774714,0.118433679,0.003938515,6.196570033,3.805586768,2.390983265,0.665626531,0.665360563,0.665094595,-6.67E-05,0.667875434,0.667460437,0.667045441,26.48684668,26.68620973,26.88557279,0.049978204,1.910822447,8,1.639344262,1993.121,2001.099,1997.11,7.978,0.638049878,1.653596163,1.015546285,0.004899556,0.012848853,0.115100455,60.47425739,20.8395,NA,NA,NA,no
africa,GHANA,CAP,CAP-09,147,2,1285,Cape Three Points Plot 9 (slow dyn),Main Plot View,1,1,4.85044,-2.04073,126,0.008573388,0.005829904,486,490,494,4.166666667,2.833333333,1.333333333,33.11638503,33.72808257,34.33978012,0.038397724,0.364028514,0.198527057,0.402426238,0.203899181,393.8082356,402.7718159,411.7353962,2.341754605,0.21182246,5.117792251,0.054982385,0.002785243,5.387382338,2.399522233,2.987860105,0.665094595,0.665477826,0.665861057,0.000127744,0.667045441,0.66604914,0.665052839,26.88557279,27.06828567,27.25099856,0.060904294,1.389836532,26,5.306122449,2001.099,2007.099,2004.099,6,0.758709401,1.368021756,0.609312355,0.006097674,0.010912137,0.137750271,73.09825271,20.8395,0.085402324,-0.115780182,-0.201182506,no
africa,GHANA,CAP,CAP-09,147,3,1285,Cape Three Points Plot 9 (slow dyn),Main Plot View,1,1,4.85044,-2.04073,126,0.006785499,0.006490478,494,494.5,495,3.352036727,3.206295999,0.145740727,34.33978012,33.55673343,32.77368675,0.032961999,0.258450653,0.519656237,0.291412651,-0.228243586,411.7353962,398.4728367,385.2102772,7.414170683,0.185400456,3.362980081,0.147128607,0.003410255,3.6989194,7.564709546,-3.865790146,0.665861057,0.664670374,0.663479691,-0.000347062,0.665052839,0.663895168,0.662737497,27.25099856,27.01227189,26.77354521,-0.069584397,1.0902765,51,10.31344793,2007.099,2013.9605,2010.52975,6.8615,-0.938901581,0.898372944,1.837274525,-0.007817574,0.007124958,0.337007758,111.312346,20.8395,-1.065762197,-0.262560811,0.803201386,no
africa,GHANA,CAP,CAP-10,148,1,1286,Cape Three Points Plot 10 (fast dyn),Main Plot View,1,1,4.79782,-2.04923,68,0.021961916,0.019650135,433,437,441,9.50950951,8.508508509,1.001001001,20.25472042,21.06197739,21.86923436,0.110264222,0.568943334,0.477191296,0.679207556,0.202016259,173.2294393,185.3588963,197.4883534,3.913048533,0.643704662,6.304743528,0.39830528,0.029753963,7.376507433,4.341107777,3.035399657,0.571066975,0.573940167,0.57681336,0.000719017,0.53350787,0.54331707,0.55312627,24.2611642,24.50528265,24.7494011,0.061090703,3.655589291,10,2.288329519,1993.129,2001.121,1997.125,7.992,1.752242384,4.2582297,2.505987316,0.006945995,0.01727327,0.057544831,23.48393747,20.8175,NA,NA,NA,no
africa,GHANA,CAP,CAP-10,148,2,1286,Cape Three Points Plot 10 (fast dyn),Main Plot View,1,1,4.79782,-2.04923,68,0.024910097,0.022268117,441,444.5,448,10.98535286,9.82023968,1.165113182,21.86923436,22.40818008,22.94712579,0.112906215,0.543307285,0.476804139,0.6562135,0.17940936,197.4883534,207.476299,217.4642446,3.762864483,0.638889827,6.44885668,0.323230957,0.021659285,7.432636749,4.107754725,3.324882024,0.57681336,0.584636463,0.592459566,0.002604229,0.55312627,0.559750782,0.566375294,24.7494011,25.13754106,25.52568102,0.129207711,3.114580735,10,2.249718785,2001.121,2007.129,2004.125,6.008,1.68358385,3.763582319,2.079998468,0.00748005,0.016881824,0.063777364,26.57042985,20.8175,0.041354624,0.008018474,-0.03333615,no
africa,GHANA,CAP,CAP-10,148,3,1286,Cape Three Points Plot 10 (fast dyn),Main Plot View,1,1,4.79782,-2.04923,68,0.019972235,0.016698098,448,453,458,8.947561423,7.480748075,1.466813348,22.94712579,23.48826238,24.02939897,0.101020464,0.489060495,0.431331685,0.590080959,0.158749273,217.4642446,225.6472621,233.8302797,4.015175571,0.533822132,5.881945316,0.338233383,0.026878659,6.780879491,4.380287614,2.400591877,0.592459566,0.594791669,0.597123772,0.000684152,0.566375294,0.571884063,0.577392833,25.52568102,25.60745025,25.68921947,0.023988037,2.718816721,22,4.856512141,2007.129,2013.9465,2010.53775,6.8175,1.103901877,3.118158346,2.014256469,0.00529932,0.014815983,0.078728933,32.07021226,20.8175,-0.144133195,-0.101634596,0.042498599,no
